Model,Share,Battery_Size,Max_Charge_P
Zero Motorcycles SR/F,1,12.6,3.7
Zero Motorcycles SR,1,15.8,3.7
Zero Motorcycles SR/F,1,15.8,3.7
Zero Motorcycles SR/F,1,12.6,6
Zero Motorcycles SR/F,1,12.6,9.7
Zero Motorcycles DS,1,15.8,3.7
Zero Motorcycles SR/F,1,12.6,12
Zero Motorcycles SR/F,1,15.8,6
Zero Motorcycles SR/S,1,12.6,3.7
Zero Motorcycles SR/S,1,12.6,6
Zero Motorcycles DSR,1,12.6,7.3
Zero Motorcycles DS,1,12.6,7.3
Zero Motorcycles DSR,1,12.6,1.3
Zero Motorcycles SR/S,1,12.6,12
Zero Motorcycles SR/S,1,15.8,6
Zero Motorcycles DS,1,12.6,3.7
Zero Motorcycles DSR,1,15.8,1.3
Zero Motorcycles DSR/BF,1,12.6,1.3
Zero Motorcycles DSR/BF,1,15.8,1.3
Zero Motorcycles FXS,1,6.3,0.65
Zero Motorcycles DSR/BF,1,12.6,7.3
Zero Motorcycles FX,1,6.3,0.65
Zero Motorcycles FXS,1,6.3,0.65
e.GO Mobile Life 60,1,21,3.6
e.GO Mobile Life 40,1,17.5,3.6
e.GO Mobile Life 20,1,14.5,3.6
smart fortwo ED,1,17.6,22
smart fortwo EQ,1,17.6,3.6
smart fortwo EQ,1,17.6,22
smart fortwo ED,1,17.6,3.6
smart forfour EQ,1,17.6,3.6
smart forfour EQ,1,17.6,22
